Year,Title,Comic,IMDB Score,RT Score,Composite Score,Opening Weekend  Box Office,Avg Ticket Price,Opening Weekend Attendance,US Population That Year,pct_of_pop,box_off_estimate
1978,Superman,DC,7.3,95,84.0,7465343.0,2.34,3190317.521,222584545,0.014333059471851472,17468902.619999997
1980,Superman II,DC,6.7,88,77.5,14100523.0,2.69,5241830.112,227224681,0.02306892934751221,37930406.87
1983,Superman III,DC,4.9,24,36.5,13352357.0,3.15,4238843.492,233791994,0.018130832538260484,42059924.55
1984,Supergirl,DC,4.2,8,25.0,5738249.0,3.36,1707812.202,235824902,0.007241865415892339,19280516.64
1986,Howard the Duck,Marvel,4.3,16,29.5,5070136.0,3.71,1366613.477,240132887,0.005691071698146868,18810204.56
1987,Superman IV: The Quest for Peace,DC,3.6,10,23.0,5683122.0,3.91,1453483.887,242288918,0.005998969738269251,22221007.02
1989,Batman,DC,7.6,71,73.5,40489746.0,3.97,10198928.46,246819230,0.04132144995347405,160744291.62
1992,Batman Returns,DC,7.0,78,74.0,45687711.0,4.15,11009086.99,255029699,0.04316786253980561,189604000.65
1995,Batman Forever,DC,5.4,42,48.0,52784433.0,4.35,12134352.41,262803276,0.04617275931522254,229612283.54999998
1997,Batman & Robin,DC,3.6,12,24.0,42872605.0,4.59,9340436.819,267783607,0.034880540013788076,196785256.95
1997,Steel,DC,2.7,12,19.5,870068.0,4.59,189557.2985,267783607,0.000707874916704666,3993612.1199999996
1998,Blade,Marvel,7.0,55,62.5,17073856.0,4.69,3640481.023,270248003,0.013470889636879204,80076384.64
2000,X-Men,Marvel,7.4,82,78.0,54471475.0,5.39,10106025.05,282171957,0.03581512903495226,293601250.25
2002,Blade II,Marvel,6.6,59,62.5,32528016.0,5.81,5598625.818,287803914,0.019452917579154256,188987772.95999998
2002,Spider-Man,Marvel,7.4,89,81.5,114844116.0,5.81,19766629.26,287803914,0.06868089104583894,667244313.9599999
2003,Daredevil,Marvel,5.4,45,49.5,40310419.0,6.03,6684978.275,290326418,0.023025731936664476,243071826.57000002
2003,Hulk,Marvel,5.7,62,59.5,62128420.0,6.03,10303220.56,290326418,0.0354884017478561,374634372.6
2003,X2,Marvel,7.6,88,82.0,85558731.0,6.03,14188844.28,290326418,0.04887203988443105,515919147.93
2004,Blade: Trinity,Marvel,5.8,26,42.0,16061271.0,6.21,2586356.039,293045739,0.008825775961888325,99740492.91
